 ,SDR,SIR,SAR,SI-SDR
E,0.377,9.573,-2.121,9.801
A,-0.006,-13.688,-10.762,-0.003
D,2.147,11.388,2.649,23.074
G,1.828,11.365,2.019,18.873
B,-0.002,-13.163,-10.762,-0.008
e,-0.264,-3.233,-3.082,2.949
 
0.68,0.374,-3.677,9.114
