 ,SDR,SIR,SAR,SI-SDR
E,0.196,6.345,-3.898,5.623
A,-0.033,-10.049,-11.16,-0.011
D,1.826,11.393,2.414,14.796
G,2.362,13.779,2.972,13.688
B,-0.018,-12.481,-11.124,-0.013
e,-0.232,1.398,-1.486,3.21
 
0.683,1.731,-3.714,6.215
