,frame_segment_avg_tab_p,frame_segment_avg_tab_r,frame_segment_avg_tab_f,frame_frame_avg_tab_p,frame_frame_avg_tab_r,frame_frame_avg_tab_f,note_avg_tab_p,note_avg_tab_r,note_avg_tab_f,frame_avg_F0_from_tab_p,frame_avg_F0_from_tab_r,frame_avg_F0_from_tab_f,note_avg_F0_from_tab_p,note_avg_F0_from_tab_r,note_avg_F0_from_tab_f,frame_avg_tdr,note_avg_tdr,frame_avg_F0_from_tab_f_solo,frame_avg_tab_f_solo,frame_avg_F0_from_tab_f_comp,frame_avg_tab_f_comp,note_avg_F0_from_tab_f_solo,note_avg_tab_f_solo,note_avg_F0_from_tab_f_comp,note_avg_tab_f_comp
No00,0.829,0.850,0.837,0.829,0.848,0.838,0.816,0.850,0.829,0.859,0.875,0.864,0.843,0.872,0.854,0.970,0.973,0.894,0.867,0.835,0.807,0.879,0.828,0.856,0.803
mean,0.829,0.850,0.837,0.829,0.848,0.838,0.816,0.850,0.829,0.859,0.875,0.864,0.843,0.872,0.854,0.970,0.973,0.894,0.867,0.835,0.807,0.879,0.828,0.856,0.803
std,,,,,,,,,,,,,,,,,,,,,,,,,
