 ,SDR,SIR,SAR,SI-SDR
E,3.803,13.94,3.484,4.284
A,3.756,12.057,3.264,3.488
D,9.466,19.659,10.429,8.17
G,14.012,26.909,15.425,10.927
B,13.948,23.805,14.452,10.308
e,7.258,14.21,7.349,4.672
 
8.707,18.43,9.067,6.975
