 ,SDR,SIR,SAR,SI-SDR
E,2.412,11.287,1.538,4.172
A,1.824,7.32,1.188,3.12
D,7.209,16.389,8.222,7.737
G,12.659,24.701,13.982,10.833
B,10.892,18.861,12.359,9.902
e,5.376,12.063,5.651,4.434
 
6.729,15.104,7.157,6.7
