 ,SDR,SIR,SAR,SI-SDR
E,2.405,11.71,1.985,9.258
A,2.413,8.822,2.623,10.589
D,6.748,16.367,8.082,16.717
G,10.148,22.176,11.963,16.263
B,8.41,16.503,10.289,13.766
e,3.101,7.866,2.254,4.679
 
5.537,13.907,6.199,11.879
