 ,SDR,SIR,SAR,SI-SDR
E,1.413,7.032,0.545,12.045
A,-0.024,0.266,1.531,15.659
D,3.807,9.386,3.959,20.307
G,5.623,12.946,6.757,19.553
B,4.19,10.493,3.136,11.984
e,0.796,0.989,-2.55,4.055
 
2.634,6.852,2.23,13.934
