 ,SDR,SIR,SAR,SI-SDR
E,2.608,10.486,2.015,8.165
A,1.866,6.162,2.397,9.573
D,6.636,14.523,7.194,14.238
G,9.818,19.928,11.091,15.24
B,9.069,17.149,8.794,11.146
e,4.027,7.599,2.4,4.363
 
5.671,12.641,5.648,10.454
