 ,SDR,SIR,SAR,SI-SDR
E,0.014,3.117,-5.675,1.444
A,-0.061,-6.41,-11.558,-0.019
D,1.506,11.397,2.179,6.517
G,2.897,16.192,3.925,8.502
B,-0.034,-11.799,-11.486,-0.019
e,-0.2,6.028,0.109,3.47
 
0.687,3.088,-3.751,3.316
