 ,SDR,SIR,SAR,SI-SDR
E,2.999,12.953,2.809,8.98
A,3.395,13.273,4.219,10.633
D,6.432,18.458,8.266,16.533
G,9.626,23.639,12.136,16.331
B,8.022,19.037,9.378,13.541
e,4.076,10.405,3.079,5.102
 
5.758,16.294,6.648,11.853
