 ,SDR,SIR,SAR,SI-SDR
E,2.881,13.672,2.787,13.79
A,3.987,15.038,5.515,18.251
D,6.363,17.858,8.61,25.659
G,7.691,20.189,10.694,22.256
B,5.875,14.974,7.318,17.248
e,2.289,6.682,0.201,5.7
 
4.848,14.735,5.854,17.151
