 ,SDR,SIR,SAR,SI-SDR
E,3.109,12.28,2.831,4.471
A,2.839,11.618,3.005,3.491
D,6.497,19.02,7.943,7.978
G,11.44,26.874,13.488,10.776
B,10.035,22.846,11.309,10.065
e,5.751,13.895,5.778,4.541
 
6.612,17.756,7.392,6.887
