 ,SDR,SIR,SAR
E,3.91,14.56,3.67
A,4.22,13.31,5.29
D,8.02,17.43,9.86
G,9.07,20.46,11.69
B,7.57,15.69,9.88
e,2.1,5.75,0.41
 
5.812,14.533,6.8
