 ,SDR,SIR,SAR,SI-SDR
E,3.551,14.257,3.128,4.46
A,3.792,12.389,3.48,3.554
D,9.557,19.675,10.531,8.17
G,14.125,27.072,15.735,11.178
B,13.678,24.973,14.271,10.376
e,7.476,15.954,7.102,4.781
 
8.696,19.054,9.041,7.086
