 ,SDR,SIR,SAR,SI-SDR
E,0.134,-6.218,1.589,0.003
A,-1.084,-2.717,0.314,0.852
D,4.062,2.0,6.488,4.669
G,10.333,10.697,8.393,7.07
B,6.091,5.754,7.189,5.444
e,3.974,5.489,5.176,3.119
 
3.918,2.501,4.858,3.526
