 ,SDR,SIR,SAR,SI-SDR
E,0.1,-3.124,2.611,0.003
A,-3.809,-7.46,0.887,5.04
D,-2.692,-3.571,4.503,15.034
G,0.821,5.237,4.531,21.835
B,-0.606,2.372,4.22,19.242
e,-1.799,-2.255,3.568,10.748
 
-1.331,-1.467,3.387,11.984
