 ,SDR,SIR,SAR,SI-SDR
E,0.117,-4.671,2.1,0.003
A,-2.446,-5.089,0.601,2.946
D,0.685,-0.786,5.495,9.851
G,5.577,7.967,6.462,14.452
B,2.743,4.063,5.705,12.343
e,1.088,1.617,4.372,6.933
 
1.294,0.517,4.122,7.755
