subset,metric,mean,std,ci95_lo,ci95_hi
all,frame_macro_f1,0.6243525252108992,0.012467608836482494,0.597204629227784,0.64005405078716
all,note_macro_f1,0.6217479652633616,0.010898512157287958,0.6057023828863946,0.6413612360906256
all,frameF0_macro_f1,0.7548096989221953,0.008314699868754894,0.7360999703136396,0.767310967873711
all,noteF0_macro_f1,0.747565229145023,0.006939132842603957,0.7354913422226459,0.7574040183385992
all,frame_macro_tdr,0.8257898815435274,0.013392460606800563,0.8048446491473688,0.8473518638792158
all,note_macro_tdr,0.8230721440411074,0.015462416722159799,0.8001187973915467,0.8541661632062744
all,frame_micro_f1,0.5389183559095854,0.01779816583794364,0.5123535444096519,0.5671557255814247
all,frame_micro_p,0.6124747319910349,0.020126373815310575,0.5794634171909157,0.6479453640749487
all,frame_micro_r,0.4811842798626141,0.0167006049767454,0.4579894101091706,0.5074293428556644
all,note_micro_f1,0.5434001964302165,0.0142186988554405,0.5258785622017086,0.5684327135375089
all,note_micro_p,0.6058016327157623,0.015242364234075535,0.5858860658429105,0.631248909837243
all,note_micro_r,0.49268418034170686,0.013866231594217876,0.47495047753821146,0.5169964536279987
all,frameF0_micro_f1,0.7235415239926205,0.008847689097146751,0.7088913879629251,0.738022772156585
all,frameF0_micro_p,0.8282530868248292,0.009243166190882187,0.8062737305445741,0.8422888574192313
all,frameF0_micro_r,0.6424053763709681,0.010801124046949958,0.6217496798897528,0.6605995706255969
all,noteF0_micro_f1,0.7179356730632526,0.006398362309680641,0.7082539771310473,0.7317482233179078
all,noteF0_micro_p,0.8058792652062017,0.007405902248109752,0.7931984884981133,0.816488062129622
all,noteF0_micro_r,0.6473622872481453,0.008691028946975758,0.6339950512904794,0.6641754470328983
solo,frame_macro_f1,0.7790953558930599,0.01325220582536274,0.7535124873640903,0.7994218634589996
solo,note_macro_f1,0.768623899715853,0.012729102210332228,0.7450482381681534,0.7871477601526939
solo,frameF0_macro_f1,0.8601814166817855,0.004710437461526287,0.8525725229940377,0.8673368710103044
solo,noteF0_macro_f1,0.8463547891654368,0.004839044178150062,0.8376756084819487,0.8548060633232197
solo,frame_macro_tdr,0.9162696309925004,0.012394245990259352,0.8919357471632778,0.934186342613299
solo,note_macro_tdr,0.9126589370211535,0.01681374034289542,0.8815090784099993,0.9340335755858714
solo,frame_micro_f1,0.7804765627519733,0.015258370074678836,0.7563105146497767,0.8059429993460212
solo,frame_micro_p,0.7789581881474879,0.015047704818928757,0.754526443305927,0.8034739544229383
solo,frame_micro_r,0.7820292405857703,0.01619791392219886,0.7580995257561268,0.8102777270766793
solo,note_micro_f1,0.7619647531684726,0.016317433322515413,0.7305092661697633,0.7878435913510999
solo,note_micro_p,0.7520149953325206,0.01901451086582475,0.7164436032665026,0.7862547516182218
solo,note_micro_r,0.7722440471458413,0.014660662293578772,0.7422657252647145,0.7905901929336798
solo,frameF0_micro_f1,0.8612194950645422,0.006557766879285914,0.8494952414236117,0.8714554621285308
solo,frameF0_micro_p,0.8636295886832791,0.009346325439396608,0.851221683764119,0.8810031544946475
solo,frameF0_micro_r,0.8588865631562099,0.007572046263085837,0.8467427229086104,0.869080540795788
solo,noteF0_micro_f1,0.8498458597513576,0.006243046804215181,0.8397891236681142,0.8590350735656928
solo,noteF0_micro_p,0.84210414671573,0.00666426748880239,0.8327566907156031,0.8527608239491308
solo,noteF0_micro_r,0.857769787176661,0.008265536593234275,0.8448280056439449,0.8726345367555522
comp,frame_macro_f1,0.46818387447078746,0.016364090229688075,0.442523926207268,0.49323065449736797
comp,note_macro_f1,0.4722220030622263,0.023856512311143416,0.42608156933985253,0.5066954994815122
comp,frameF0_macro_f1,0.6494628565870381,0.015095900928530573,0.6215795954375112,0.6688454606161719
comp,noteF0_macro_f1,0.6438212738655389,0.013238843643793793,0.6233305409706971,0.6641108705627887
comp,frame_macro_tdr,0.7307322937676946,0.025596063938983647,0.6969266380868613,0.7791106109609922
comp,note_macro_tdr,0.738591707072227,0.02432538107356343,0.6890328071507897,0.7725144018810826
comp,frame_micro_f1,0.4583951911276216,0.03229055992993096,0.3998513403433128,0.512811506248258
comp,frame_micro_p,0.5514902999505933,0.03369356365621906,0.48638171102377614,0.6079878131820339
comp,frame_micro_r,0.3923419210881774,0.031026790989522733,0.33748062734038803,0.4434158468158962
comp,note_micro_f1,0.438053797189445,0.029191916456962615,0.3937900375882085,0.4948487062484989
comp,note_micro_p,0.5169477167367591,0.0359665530823789,0.4605619816877008,0.5885442425848296
comp,note_micro_r,0.3800885923815726,0.024769968394162904,0.34392993600571614,0.4298299179503459
comp,frameF0_micro_f1,0.6695033514745755,0.010387219152921382,0.6553432574338642,0.6895044565940048
comp,frameF0_micro_p,0.8105045454824109,0.009512595738956768,0.7933481998537933,0.8221353037641865
comp,frameF0_micro_r,0.570430803776979,0.013572917373899318,0.545324404851297,0.5950165174950368
comp,noteF0_micro_f1,0.6573723662142271,0.011700185259511511,0.6349140274315628,0.6752026318756639
comp,noteF0_micro_p,0.7847171354897698,0.007217475990003151,0.7711804985716231,0.7956679789711557
comp,noteF0_micro_r,0.5657335551740212,0.015431714519884294,0.536296805169941,0.5869309597531475
