 ,SDR,SIR,SAR,SI-SDR
E,-0.046,5.674,-4.11,6.289
A,0.88,8.408,0.585,9.257
D,1.663,11.177,2.545,14.797
G,2.293,13.81,2.965,13.688
B,1.194,8.428,1.552,10.799
e,-0.568,2.923,-1.813,2.715
 
0.903,8.403,0.287,9.591
