 ,SDR,SIR,SAR,SI-SDR
E,0.067,8.758,-2.214,10.859
A,1.601,9.662,2.293,16.221
D,1.934,11.079,2.83,23.098
G,1.864,10.532,1.854,18.603
B,0.515,6.001,0.736,13.774
e,-0.646,0.034,-3.411,2.22
 
0.889,7.677,0.348,14.129
