 ,SDR,SIR,SAR,SI-SDR
E,-0.159,2.592,-6.005,1.719
A,0.158,7.153,-1.124,2.293
D,1.392,11.276,2.26,6.496
G,2.722,17.087,4.077,8.772
B,1.874,10.857,2.368,7.825
e,-0.49,5.811,-0.215,3.211
 
0.916,9.129,0.227,5.053
