 ,SDR,SIR,SAR,SI-SDR
E,-0.174,-6.006,-6.998,0.498
A,-1.163,0.5,-2.07,2.116
D,-5.012,7.219,1.281,7.387
G,-2.378,11.283,2.556,9.689
B,-2.425,7.101,0.935,8.215
e,-3.45,1.908,-0.307,4.015
 
-2.434,3.667,-0.767,5.32
