 ,SDR,SIR,SAR,SI-SDR
E,-1.046,-4.659,-5.915,2.895
A,-2.382,0.983,-1.289,8.952
D,-4.445,6.357,1.463,15.12
G,-1.3,5.788,1.351,11.995
B,-1.362,4.544,-0.211,8.453
e,-1.879,-0.188,-2.314,2.911
 
-2.069,2.137,-1.153,8.388
