file,subset,frame_tp,frame_fp,frame_fn,note_tp,note_fp,note_fn,frameF0_tp,frameF0_fp,frameF0_fn,noteF0_tp,noteF0_fp,noteF0_fn,frame_tdr_num,frame_tdr_den,note_tdr_num,note_tdr_den
05_SS1-100-C#_comp_01.npz,comp,1125,140,64,181,32,4,1125,140,64,181,32,4,1125.0,1125.0,181.0,181.0
00_BN1-129-Eb_solo_02.npz,solo,308,26,6,61,8,3,308,26,6,61,8,3,308.0,308.0,61.0,61.0
02_BN3-154-E_solo_01.npz,solo,202,28,9,50,8,4,202,25,9,50,8,4,202.0,202.0,50.0,50.0
04_BN3-154-E_solo_01.npz,solo,190,7,19,48,4,3,190,7,19,48,4,3,190.0,190.0,48.0,48.0
04_SS1-68-E_solo_00.npz,solo,323,16,54,37,4,5,323,16,54,37,4,5,323.0,323.0,37.0,37.0
00_Funk1-114-Ab_comp_00.npz,comp,815,225,136,155,44,27,815,225,136,155,44,27,815.0,815.0,155.0,155.0
03_BN2-166-Ab_comp_01.npz,comp,432,57,37,118,23,10,432,57,37,118,23,10,432.0,432.0,118.0,118.0
01_BN3-154-E_solo_00.npz,solo,199,10,6,50,2,2,199,10,6,50,2,2,199.0,199.0,50.0,50.0
05_SS1-68-E_comp_02.npz,comp,1359,195,84,141,28,13,1359,195,84,141,28,13,1359.0,1359.0,141.0,141.0
01_BN1-129-Eb_comp_01.npz,comp,648,187,25,130,38,7,648,187,25,130,38,7,648.0,648.0,130.0,130.0
04_Rock1-130-A_solo_02.npz,solo,251,49,39,56,11,7,251,49,39,56,11,7,251.0,251.0,56.0,56.0
00_BN1-129-Eb_comp_00.npz,comp,868,57,111,174,9,32,868,57,111,174,9,32,868.0,868.0,174.0,174.0
05_BN3-154-E_solo_00.npz,solo,157,3,12,41,0,2,157,3,12,41,0,2,157.0,157.0,41.0,41.0
03_Rock3-117-Bb_comp_03.npz,comp,652,65,153,132,12,29,680,37,125,137,7,24,652.0,680.0,132.0,137.0
03_Rock1-130-A_solo_01.npz,solo,234,14,13,52,2,2,234,14,13,52,2,2,234.0,234.0,52.0,52.0
02_BN3-154-E_solo_02.npz,solo,222,27,5,53,9,5,222,27,5,53,9,5,222.0,222.0,53.0,53.0
03_BN2-166-Ab_comp_02.npz,comp,392,50,71,108,19,15,392,50,71,108,19,15,392.0,392.0,108.0,108.0
03_BN2-166-Ab_solo_03.npz,solo,181,23,20,49,6,5,184,20,12,50,5,3,181.0,184.0,49.0,50.0
04_Funk3-98-A_comp_03.npz,comp,743,194,141,111,31,22,772,151,112,115,26,18,743.0,772.0,111.0,115.0
02_BN1-129-Eb_solo_01.npz,solo,278,20,38,58,5,7,278,20,38,58,5,7,278.0,278.0,58.0,58.0
03_BN2-166-Ab_solo_00.npz,solo,142,7,8,38,4,1,146,3,4,39,3,0,142.0,146.0,38.0,39.0
01_BN1-129-Eb_comp_00.npz,comp,440,158,16,89,35,3,440,158,16,89,35,3,440.0,440.0,89.0,89.0
04_Rock1-130-A_solo_00.npz,solo,127,37,65,26,9,11,127,37,44,26,9,7,127.0,127.0,26.0,26.0
00_Rock1-130-A_comp_02.npz,comp,1173,247,359,252,45,68,1173,247,359,252,45,68,1173.0,1173.0,252.0,252.0
01_Rock1-130-A_solo_00.npz,solo,180,58,8,38,11,1,180,58,8,38,11,1,180.0,180.0,38.0,38.0
04_BN3-154-E_comp_01.npz,comp,118,316,363,31,78,87,120,314,361,31,78,87,118.0,120.0,31.0,31.0
01_Funk2-119-G_comp_00.npz,comp,326,109,69,69,15,15,328,99,67,69,13,15,326.0,328.0,69.0,69.0
03_Rock1-130-A_comp_00.npz,comp,471,268,139,98,60,28,472,267,138,98,60,28,471.0,472.0,98.0,98.0
05_BN1-129-Eb_comp_01.npz,comp,646,79,88,129,27,12,646,79,88,129,27,12,646.0,646.0,129.0,129.0
00_Rock1-130-A_comp_01.npz,comp,1136,188,169,232,37,38,1136,188,169,232,37,38,1136.0,1136.0,232.0,232.0
04_BN3-154-E_comp_00.npz,comp,299,273,241,88,67,51,306,266,234,90,65,49,299.0,306.0,88.0,90.0
05_BN3-154-E_solo_01.npz,solo,185,31,4,44,10,1,185,31,4,44,10,1,185.0,185.0,44.0,44.0
01_BN3-119-G_solo_02.npz,solo,241,26,18,47,4,1,241,26,18,47,4,1,241.0,241.0,47.0,47.0
04_Funk3-98-A_comp_01.npz,comp,700,78,125,103,9,19,700,78,125,103,9,19,700.0,700.0,103.0,103.0
03_Funk1-114-Ab_solo_01.npz,solo,207,28,3,37,7,3,207,28,3,37,7,3,207.0,207.0,37.0,37.0
