file,subset,frame_tp,frame_fp,frame_fn,frameF0_tp,frameF0_fp,frameF0_fn,frame_tdr_num,frame_tdr_den,note_p,note_r,note_f1,noteF0_p,noteF0_r,noteF0_f1,note_tdr
05_BN1-129-Eb_comp_01.npz,comp,655,93,79,655,93,79,655.0,655.0,0.8410596026490066,0.900709219858156,0.8698630136986302,0.8410596026490066,0.900709219858156,0.8698630136986302,1.0
00_Rock1-130-A_comp_01.npz,comp,1138,204,167,1138,204,167,1138.0,1138.0,0.8623188405797102,0.8814814814814815,0.8717948717948718,0.8623188405797102,0.8814814814814815,0.8717948717948718,1.0
04_BN3-154-E_comp_00.npz,comp,322,293,218,329,286,211,322.0,329.0,0.5921052631578947,0.6474820143884892,0.6185567010309279,0.6052631578947368,0.6618705035971223,0.6323024054982818,0.9782608695652174
05_BN3-154-E_solo_01.npz,solo,175,12,14,175,12,14,175.0,175.0,0.8979591836734694,0.9777777777777777,0.9361702127659575,0.8979591836734694,0.9777777777777777,0.9361702127659575,1.0
01_BN3-119-G_solo_02.npz,solo,240,30,19,240,30,19,240.0,240.0,0.9038461538461539,0.9791666666666666,0.94,0.9038461538461539,0.9791666666666666,0.94,1.0
04_Funk3-98-A_comp_01.npz,comp,751,105,74,751,105,74,751.0,751.0,0.8934426229508197,0.8934426229508197,0.8934426229508197,0.8934426229508197,0.8934426229508197,0.8934426229508197,1.0
03_Funk1-114-Ab_solo_01.npz,solo,207,40,3,207,40,3,207.0,207.0,0.7959183673469388,0.975,0.8764044943820225,0.7959183673469388,0.975,0.8764044943820225,1.0
00_Rock1-130-A_comp_00.npz,comp,1406,154,16,1406,154,16,1406.0,1406.0,0.9022082018927445,0.9930555555555556,0.9454545454545454,0.9022082018927445,0.9930555555555556,0.9454545454545454,1.0
03_Funk1-114-Ab_comp_00.npz,comp,540,58,118,540,58,118,540.0,540.0,0.8983050847457628,0.8346456692913385,0.8653061224489796,0.8983050847457628,0.8346456692913385,0.8653061224489796,1.0
05_Funk1-114-Ab_comp_02.npz,comp,583,105,64,583,105,64,583.0,583.0,0.8345864661654135,0.9173553719008265,0.8740157480314961,0.8345864661654135,0.9173553719008265,0.8740157480314961,1.0
04_BN3-154-E_solo_00.npz,solo,184,28,30,184,28,14,184.0,184.0,0.8703703703703703,0.8392857142857143,0.8545454545454545,0.8703703703703703,0.9038461538461539,0.8867924528301887,1.0
02_BN3-154-E_comp_01.npz,comp,751,105,22,751,105,22,751.0,751.0,0.8660287081339713,0.9576719576719577,0.9095477386934674,0.8660287081339713,0.9576719576719577,0.9095477386934674,1.0
00_Funk1-114-Ab_solo_00.npz,solo,357,20,23,358,16,22,357.0,358.0,0.9264705882352942,0.9264705882352942,0.9264705882352942,0.9264705882352942,0.9264705882352942,0.9264705882352942,1.0
03_Funk2-108-Eb_solo_03.npz,solo,247,25,26,247,25,26,247.0,247.0,0.92,0.92,0.92,0.92,0.92,0.92,1.0
03_Jazz1-130-D_solo_02.npz,solo,250,27,9,250,27,9,250.0,250.0,0.8103448275862069,0.9215686274509803,0.8623853211009175,0.8103448275862069,0.9215686274509803,0.8623853211009175,1.0
02_BN1-129-Eb_comp_01.npz,comp,672,49,56,672,49,56,672.0,672.0,0.9121621621621622,0.9183673469387755,0.9152542372881356,0.9121621621621622,0.9183673469387755,0.9152542372881356,1.0
04_Funk3-98-A_solo_03.npz,solo,315,40,29,315,40,29,315.0,315.0,0.8214285714285714,0.9019607843137255,0.8598130841121495,0.8214285714285714,0.9019607843137255,0.8598130841121495,1.0
03_Rock1-130-A_solo_02.npz,solo,264,5,9,264,5,9,264.0,264.0,0.9666666666666667,1.0,0.9830508474576272,0.9666666666666667,1.0,0.9830508474576272,1.0
01_Jazz1-200-B_comp_01.npz,comp,411,62,33,411,62,33,411.0,411.0,0.8613138686131386,0.8368794326241135,0.8489208633093526,0.8613138686131386,0.8368794326241135,0.8489208633093526,1.0
01_Funk2-119-G_comp_02.npz,comp,369,64,42,369,64,42,369.0,369.0,0.826530612244898,0.8709677419354839,0.8481675392670157,0.826530612244898,0.8709677419354839,0.8481675392670157,1.0
05_SS1-100-C#_comp_02.npz,comp,1158,94,27,1158,94,27,1158.0,1158.0,0.9068627450980392,1.0,0.9511568123393316,0.9068627450980392,1.0,0.9511568123393316,1.0
01_Rock1-130-A_solo_01.npz,solo,261,32,41,261,32,41,261.0,261.0,0.9152542372881356,0.8852459016393442,0.9,0.9152542372881356,0.8852459016393442,0.9,1.0
03_Rock3-117-Bb_solo_00.npz,solo,285,21,4,285,21,4,285.0,285.0,0.9491525423728814,0.9824561403508771,0.9655172413793104,0.9491525423728814,0.9824561403508771,0.9655172413793104,1.0
02_BN1-129-Eb_solo_02.npz,solo,230,41,17,230,41,17,230.0,230.0,0.85,0.9444444444444444,0.8947368421052632,0.85,0.9444444444444444,0.8947368421052632,1.0
02_BN3-154-E_comp_02.npz,comp,741,83,67,741,83,67,741.0,741.0,0.8894230769230769,0.9343434343434344,0.9113300492610837,0.8894230769230769,0.9343434343434344,0.9113300492610837,1.0
04_BN3-154-E_solo_03.npz,solo,175,35,4,175,35,4,175.0,175.0,0.7636363636363637,0.9545454545454546,0.8484848484848485,0.7636363636363637,0.9545454545454546,0.8484848484848485,1.0
05_SS1-68-E_solo_02.npz,solo,391,62,20,393,60,13,391.0,393.0,0.8,0.9302325581395349,0.8602150537634409,0.8,0.9523809523809523,0.8695652173913043,1.0
04_Rock1-130-A_comp_01.npz,comp,527,75,139,527,75,139,527.0,527.0,0.8333333333333334,0.7931034482758621,0.8127208480565371,0.8333333333333334,0.7931034482758621,0.8127208480565371,1.0
03_BN1-129-Eb_comp_00.npz,comp,689,42,11,689,42,11,689.0,689.0,0.9659863945578231,0.993006993006993,0.9793103448275862,0.9659863945578231,0.993006993006993,0.9793103448275862,1.0
00_BN1-129-Eb_solo_00.npz,solo,551,37,57,540,37,52,551.0,540.0,0.9401709401709402,0.88,0.9090909090909091,0.9396551724137931,0.8934426229508197,0.9159663865546218,1.0091743119266054
