 ,SDR,SIR,SAR,SI-SDR
E,3.323,12.161,3.107,4.514
A,3.49,10.84,2.88,3.466
D,8.876,18.642,9.894,8.126
G,13.551,26.013,14.955,11.055
B,13.09,24.576,13.958,10.218
e,6.829,14.35,6.755,4.709
 
8.193,17.764,8.591,7.015
