 ,SDR,SIR,SAR,SI-SDR
E,3.594,13.67,3.71,14.266
A,3.764,13.371,5.042,17.887
D,7.093,17.079,8.909,25.841
G,7.886,19.666,10.4,22.487
B,6.93,16.095,8.227,16.878
e,1.882,3.753,-0.264,5.061
 
5.192,13.939,6.004,17.07
