 ,SDR,SIR,SAR,SI-SDR
E,3.458,12.916,3.409,9.39
A,3.627,12.106,3.961,10.677
D,7.985,17.86,9.401,16.984
G,10.719,22.839,12.678,16.771
B,10.01,20.336,11.092,13.548
e,4.356,9.051,3.246,4.885
 
6.692,15.851,7.298,12.042
