 ,SDR,SIR,SAR,SI-SDR
E,0.315,9.837,-1.92,10.458
A,2.016,11.938,2.874,16.929
D,2.082,11.642,2.775,23.709
G,1.747,11.057,1.81,18.999
B,0.792,7.478,0.62,13.616
e,-0.635,0.075,-3.479,2.943
 
1.053,8.671,0.447,14.443
