 ,SDR,SIR,SAR,SI-SDR
E,-0.09,2.456,-5.792,1.599
A,0.072,7.135,-1.737,2.431
D,1.408,11.372,2.219,6.594
G,3.144,17.242,4.249,8.901
B,1.725,12.236,2.704,7.951
e,0.042,4.771,0.129,3.308
 
1.05,9.202,0.295,5.13
