 ,SDR,SIR,SAR,SI-SDR
E,3.996,14.386,3.773,9.462
A,4.154,13.111,4.512,10.726
D,8.648,18.34,10.137,17.002
G,11.814,23.931,13.888,16.86
B,10.972,19.847,12.196,13.781
e,4.845,10.046,4.047,5.184
 
7.405,16.61,8.092,12.169
