 ,SDR,SIR,SAR,SI-SDR
E,3.849,14.023,3.554,4.548
A,3.652,12.156,3.211,3.473
D,9.144,18.952,10.28,8.035
G,14.278,27.209,15.779,11.048
B,13.916,23.789,14.532,10.152
e,7.324,14.97,7.209,4.673
 
8.694,18.517,9.094,6.988
