 ,SDR,SIR,SAR,SI-SDR
E,4.142,14.749,3.991,14.377
A,4.655,14.067,5.813,17.979
D,8.153,17.727,9.995,25.968
G,9.35,20.653,11.997,22.673
B,8.029,15.903,9.861,17.411
e,2.365,5.123,0.886,5.695
 
6.116,14.704,7.09,17.35
