Category,PP,PR,PF,TP,TR,TF,TDR
Overall,0.6940651903246746,0.5629234526984456,0.6216533068997397,0.5992478314495421,0.5099014159626998,0.5509760178471835,0.8633883960802324
Comp,0.7185435435435436,0.5558588486735121,0.6268173840148796,0.6108938348858707,0.4977923537796526,0.5485741287051582,0.8501834584348341
Solo,0.6345036717693909,0.5833529273454032,0.6078541178117672,0.5706143571453547,0.5447838424303121,0.557400006831301,0.8993082034562967
