 ,SDR,SIR,SAR,SI-SDR
E,2.398,12.132,2.432,14.344
A,3.001,10.323,4.058,18.057
D,6.287,16.344,7.943,25.696
G,7.637,19.651,9.944,21.693
B,5.928,14.144,8.219,17.631
e,0.825,3.669,-1.143,4.924
 
4.346,12.711,5.242,17.057
