 ,SDR,SIR,SAR,SI-SDR
E,0.112,6.147,-3.856,6.029
A,1.044,9.537,0.569,9.68
D,1.745,11.507,2.497,15.151
G,2.446,14.149,3.03,13.95
B,1.259,9.857,1.662,10.783
e,-0.297,2.423,-1.675,3.126
 
1.051,8.937,0.371,9.787
