 ,SDR,SIR,SAR,SI-SDR
E,3.806,14.287,3.464,9.31
A,3.886,13.164,4.51,10.798
D,8.573,19.118,10.025,16.971
G,11.308,23.506,13.387,16.958
B,10.544,20.809,11.651,13.983
e,4.885,10.803,3.715,5.146
 
7.167,16.948,7.792,12.194
