 ,SDR,SIR,SAR,SI-SDR
E,4.061,14.316,3.8,14.159
A,3.98,13.938,5.54,18.042
D,7.59,18.561,9.519,25.772
G,8.491,19.94,11.038,22.739
B,7.411,16.645,9.031,17.589
e,2.295,5.652,0.329,5.51
 
5.638,14.842,6.543,17.302
