,frame_segment_avg_tab_p,frame_segment_avg_tab_r,frame_segment_avg_tab_f,frame_frame_avg_tab_p,frame_frame_avg_tab_r,frame_frame_avg_tab_f,note_avg_tab_p,note_avg_tab_r,note_avg_tab_f,frame_avg_F0_from_tab_p,frame_avg_F0_from_tab_r,frame_avg_F0_from_tab_f,note_avg_F0_from_tab_p,note_avg_F0_from_tab_r,note_avg_F0_from_tab_f,frame_avg_tdr,note_avg_tdr,frame_avg_F0_from_tab_f_solo,frame_avg_tab_f_solo,frame_avg_F0_from_tab_f_comp,frame_avg_tab_f_comp,note_avg_F0_from_tab_f_solo,note_avg_tab_f_solo,note_avg_F0_from_tab_f_comp,note_avg_tab_f_comp
No00,0.810,0.805,0.805,0.812,0.803,0.808,0.795,0.805,0.797,0.868,0.854,0.858,0.849,0.851,0.846,0.941,0.943,0.896,0.849,0.819,0.761,0.879,0.812,0.837,0.757
mean,0.810,0.805,0.805,0.812,0.803,0.808,0.795,0.805,0.797,0.868,0.854,0.858,0.849,0.851,0.846,0.941,0.943,0.896,0.849,0.819,0.761,0.879,0.812,0.837,0.757
std,,,,,,,,,,,,,,,,,,,,,,,,,
