 ,SDR,SIR,SAR,SI-SDR
E,-1.681,-7.492,-6.032,3.024
A,-2.755,-0.852,-1.18,8.769
D,-4.671,5.436,1.335,15.414
G,-1.44,5.855,0.965,11.748
B,-1.804,2.879,-0.872,7.217
e,-1.641,-3.11,-3.187,2.684
 
-2.332,0.453,-1.495,8.143
