 ,SDR,SIR,SAR,SI-SDR
E,-0.319,-9.168,-7.452,0.375
A,-1.403,0.633,-1.8,2.185
D,-5.283,6.205,1.202,7.252
G,-2.494,11.281,2.409,9.668
B,-3.406,5.111,0.606,7.77
e,-3.057,-0.059,-0.95,3.903
 
-2.66,2.334,-0.998,5.192
