 ,SDR,SIR,SAR,SI-SDR
E,-3.043,-5.817,-4.611,5.672
A,-4.108,-2.338,-0.56,15.352
D,-4.06,4.666,1.468,23.577
G,-0.385,0.429,-0.48,13.828
B,-0.201,0.648,-2.349,6.665
e,-0.226,-6.161,-5.423,1.465
 
-2.004,-1.429,-1.993,11.093
