Category,PP,PR,PF,TP,TR,TF,TDR
Overall,0.7042320448418317,0.626766094439122,0.6632447563943904,0.602323094778977,0.5669700462811623,0.5841121288258468,0.8552906661812826
Comp,0.7251268936181318,0.6455071319054035,0.6830044674954373,0.6106331347893228,0.5773950933469307,0.5935491556720375,0.8421052096723033
Solo,0.6437554288303939,0.5725706224177891,0.6060800000000001,0.5779582449962269,0.5369387414455016,0.5566938945036688,0.8977916443303469
