 ,SDR,SIR,SAR
E,0.83,9.28,1.14
A,1.02,7.19,1.94
D,3.58,14.62,7.49
G,6.27,21.81,10.64
B,4.51,13.39,9.16
e,1.22,6.99,1.7
 
2.908,12.215,5.346
